tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE5,563B-g128,562,562,0,,,,,5552.0,1357.0,0.0052631878,9.88,9,835.0,4717.0,297.0,1060.0,1129,21026,140.0,1189.0,20.0,97.0,20.0,752.0,821.0,305.0,44.0,87.0,1955.0,122.0,70.0,392.0,15.0,44.0,17.0,283.0,159.0,37.0,27.0,29.0,226.0,58.0
DE5,563B-g40,410,410,0,,,,,2515.0,826.0,0.0032680588,6.13,5,714.0,1801.0,189.0,637.0,394,11711,39.0,311.0,5.0,19.0,452.0,273.0,307.0,115.0,18.0,25.0,910.0,41.0,33.0,221.0,5.0,15.0,58.0,153.0,105.0,20.0,16.0,14.0,158.0,28.0
DE5,563B-g80,253,253,0,,,,,1972.0,824.0,0.0041526193,7.79,7,379.0,1593.0,175.0,649.0,273,8123,47.0,316.0,7.0,29.0,143.0,246.0,309.0,94.0,16.0,17.0,722.0,26.0,39.0,216.0,7.0,24.0,39.0,163.0,106.0,19.0,14.0,11.0,164.0,22.0
DE5,563C-g0,422,404,0,,,,,1963.0,427.0,0.0024782412,4.65,4,648.0,1315.0,111.0,316.0,52,11448,22.0,116.0,4.0,6.0,561.0,127.0,184.0,17.0,8.0,15.0,888.0,15.0,17.0,95.0,3.0,6.0,44.0,62.0,58.0,12.0,6.0,9.0,101.0,14.0
DE5,563C-g128,1033,1032,0,,,,,9639.0,1712.0,0.0049712704,9.33,9,890.0,8749.0,414.0,1298.0,960,38130,329.0,2005.0,21.0,58.0,49.0,1291.0,1466.0,137.0,81.0,77.0,3987.0,138.0,110.0,454.0,17.0,44.0,29.0,372.0,205.0,50.0,53.0,32.0,267.0,79.0
DE5,563C-g40,298,298,0,,,,,2171.0,689.0,0.0038813185,7.29,6,728.0,1443.0,156.0,533.0,124,8432,34.0,233.0,8.0,9.0,597.0,203.0,262.0,28.0,9.0,23.0,745.0,20.0,31.0,186.0,8.0,8.0,47.0,129.0,91.0,20.0,9.0,13.0,127.0,20.0
DE5,563C-g80,300,300,0,,,,,2130.0,876.0,0.0037826319,7.1,7,230.0,1900.0,173.0,703.0,177,10829,43.0,348.0,6.0,22.0,45.0,294.0,314.0,32.0,22.0,14.0,944.0,46.0,36.0,235.0,6.0,21.0,16.0,194.0,108.0,24.0,19.0,11.0,166.0,40.0
DE5,563D-g0,371,365,0,,,,,1727.0,417.0,0.0024800141,4.65,4,484.0,1243.0,114.0,303.0,266,10519,29.0,228.0,1.0,13.0,373.0,194.0,156.0,19.0,12.0,14.0,665.0,23.0,19.0,93.0,1.0,12.0,35.0,56.0,58.0,14.0,9.0,7.0,96.0,17.0
DE5,563D-g128,402,402,0,,,,,3997.0,1367.0,0.0052971689,9.94,10,440.0,3557.0,300.0,1067.0,971,16034,108.0,960.0,9.0,41.0,48.0,724.0,498.0,39.0,42.0,27.0,1375.0,126.0,69.0,390.0,7.0,36.0,32.0,298.0,159.0,25.0,32.0,17.0,220.0,82.0
DE5,563D-g40,332,332,0,,,,,2280.0,748.0,0.0036587479,6.87,6,568.0,1712.0,145.0,603.0,406,9350,38.0,382.0,3.0,12.0,435.0,326.0,261.0,26.0,13.0,12.0,743.0,29.0,28.0,203.0,3.0,12.0,36.0,165.0,90.0,25.0,12.0,9.0,145.0,20.0
