,generation,,,,,,,,,,,
3B,DE5-mScarlettI-flipped_612B-g0,,,DE5-mScarlettI-flipped_612B-g40,,,,DE5-mScarlettI-flipped_612B-g80,,,,DE5redo-mScarlettI-flipped_612B-g128
3B,DE5-mScarlettI-flipped_612A-g0,,,DE5-mScarlettI-flipped_612A-g40,,,,DE5-mScarlettI-flipped_612A-g80,,,,DE5redo-mScarlettI-flipped_612A-g128
3C,DE5-mScarlettI-flipped_613A-g0,,,DE5-mScarlettI-flipped_613A-g40,,,,DE5-mScarlettI-flipped_613A-g80,,,,DE5-mScarlettI-flipped_613A-g128
3C,DE5-mScarlettI-flipped_613B-g0,,,DE5-mScarlettI-flipped_613B-g40,,,,DE5-mScarlettI-flipped_613B-g80,,,,DE5-mScarlettI-flipped_613B-g128
3C,DE5-mScarlettI-flipped_613C-g0,,,DE5-mScarlettI-flipped_613C-g40,,,,DE5-mScarlettI-flipped_613C-g80,,,,DE5-mScarlettI-flipped_613C-g128
3C,DE5-mScarlettI-flipped_613D-g0,,,DE5-mScarlettI-flipped_613D-g40,,,DE5-mScarlettI-flipped_613D-g72,,,,DE5-mScarlettI-flipped_613D-g120,
3D,DE5-mScarlettI-flipped_614D-g0,,,DE5-mScarlettI-flipped_614D-g40,,,DE5-mScarlettI-flipped_614D-g72,,,,DE5-mScarlettI-flipped_614D-g120,
3D,DE5-mScarlettI-flipped_614C-g0,,,DE5-mScarlettI-flipped_614C-g40,,,,DE5-mScarlettI-flipped_614C-g80,,,,DE5-mScarlettI-flipped_614C-g128
3D,DE5-mScarlettI-flipped_614B-g0,,,DE5-mScarlettI-flipped_614B-g40,,,,DE5-mScarlettI-flipped_614B-g80,,,,DE5-mScarlettI-flipped_614B-g128
3D,DE5-mScarlettI-flipped_614A-g0,,,DE5-mScarlettI-flipped_614A-g40,,,,DE5-mScarlettI-flipped_614A-g80,,,,DE5-mScarlettI-flipped_614A-g128
3E,DE5-mScarlettI-flipped_615B-g0,,,DE5-mScarlettI-flipped_615B-g40,,,,DE5-mScarlettI-flipped_615B-g80,,,,DE5-mScarlettI-flipped_615B-g128
3E,DE5-mScarlettI-flipped_615D-g0,,,DE5-mScarlettI-flipped_615D-g40,,,DE5-mScarlettI-flipped_615D-g72,,,,DE5-mScarlettI-flipped_615D-g120,
3E,DE5-mScarlettI-flipped_615C-g0,,,DE5-mScarlettI-flipped_615C-g40,,,,DE5-mScarlettI-flipped_615C-g80,,,,DE5-mScarlettI-flipped_615C-g128
