tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
P14,TPDNAP42,18985,Barcode1,Barcode5,18985,401,0,0,0,510,0,0,0
P14,Barcode4-Barcode8,18744,Barcode4,Barcode8,18744,459,0,0,0,310,0,0,0
P14,Barcode11-Barcode9,18677,Barcode11,Barcode9,18677,80,0,0,0,405,0,0,0
P14,I777K-L900S,16264,Barcode3,Barcode7,16264,2690,0,0,0,132,0,0,0
P14,control,12314,Barcode12,Barcode10,12314,2420,0,0,0,180,0,0,0
P14,Barcode1-Barcode6,815,Barcode1,Barcode6,815,11,0,0,0,35,0,0,0
P14,Barcode2-Barcode5,752,Barcode2,Barcode5,752,18,0,0,0,20,0,0,0
P14,Barcode1-Barcode9,747,Barcode1,Barcode9,747,13,0,0,0,12,0,0,0
P14,Barcode4-Barcode6,745,Barcode4,Barcode6,745,14,0,0,0,29,0,0,0
P14,Barcode1-Barcode10,723,Barcode1,Barcode10,723,12,0,0,0,10,0,0,0
P14,Barcode2-Barcode8,712,Barcode2,Barcode8,712,24,0,0,0,16,0,0,0
P14,Barcode1-Barcode8,709,Barcode1,Barcode8,709,15,0,0,0,12,0,0,0
P14,Barcode2-Barcode9,699,Barcode2,Barcode9,699,21,0,0,0,12,0,0,0
P14,Barcode3-Barcode8,690,Barcode3,Barcode8,690,95,0,0,0,9,0,0,0
P14,Barcode3-Barcode6,684,Barcode3,Barcode6,684,129,0,0,0,22,0,0,0
P14,Barcode4-Barcode5,673,Barcode4,Barcode5,673,12,0,0,0,19,0,0,0
P14,Barcode1-Barcode7,669,Barcode1,Barcode7,669,6,0,0,0,7,0,0,0
P14,Barcode4-Barcode10,664,Barcode4,Barcode10,664,22,0,0,0,8,0,0,0
P14,Barcode2-Barcode10,662,Barcode2,Barcode10,662,16,0,0,0,13,0,0,0
P14,Barcode12-Barcode6,661,Barcode12,Barcode6,661,130,0,0,0,22,0,0,0
P14,Barcode4-Barcode9,658,Barcode4,Barcode9,658,25,0,0,0,12,0,0,0
P14,Barcode3-Barcode10,654,Barcode3,Barcode10,654,121,0,0,0,8,0,0,0
P14,Barcode4-Barcode7,651,Barcode4,Barcode7,651,12,0,0,0,2,0,0,0
P14,Barcode3-Barcode5,645,Barcode3,Barcode5,645,104,0,0,0,16,0,0,0
P14,Barcode12-Barcode9,638,Barcode12,Barcode9,638,142,0,0,0,13,0,0,0
P14,Barcode11-Barcode6,634,Barcode11,Barcode6,634,2,0,0,0,27,0,0,0
P14,Barcode2-Barcode7,632,Barcode2,Barcode7,632,20,0,0,0,9,0,0,0
P14,Barcode12-Barcode8,629,Barcode12,Barcode8,629,116,0,0,0,9,0,0,0
P14,Barcode11-Barcode10,618,Barcode11,Barcode10,618,7,0,0,0,6,0,0,0
P14,Barcode3-Barcode9,613,Barcode3,Barcode9,613,106,0,0,0,14,0,0,0
P14,Barcode11-Barcode8,599,Barcode11,Barcode8,599,1,0,0,0,10,0,0,0
P14,Barcode12-Barcode5,597,Barcode12,Barcode5,597,110,0,0,0,17,0,0,0
P14,Barcode11-Barcode5,595,Barcode11,Barcode5,595,7,0,0,0,13,0,0,0
P14,Barcode11-Barcode7,537,Barcode11,Barcode7,537,4,0,0,0,4,0,0,0
P14,Barcode12-Barcode7,537,Barcode12,Barcode7,537,104,0,0,0,9,0,0,0
P14,Barcode4-fail,256,Barcode4,fail,256,12,0,0,0,0,211,45,0
P14,Barcode2-fail,210,Barcode2,fail,210,8,0,0,0,0,154,56,0
P14,Barcode1-fail,205,Barcode1,fail,205,9,0,0,0,0,146,59,0
P14,Barcode11-fail,179,Barcode11,fail,179,3,0,0,0,0,116,63,0
P14,fail-Barcode8,161,fail,Barcode8,161,0,149,12,0,5,0,0,0
P14,fail-Barcode5,159,fail,Barcode5,159,0,149,10,0,4,0,0,0
P14,Barcode12-fail,151,Barcode12,fail,151,30,0,0,0,0,114,37,0
P14,Barcode3-fail,149,Barcode3,fail,149,22,0,0,0,0,123,26,0
P14,fail-Barcode7,149,fail,Barcode7,149,0,108,41,0,2,0,0,0
P14,fail-Barcode6,125,fail,Barcode6,125,0,120,5,0,2,0,0,0
P14,fail-Barcode10,85,fail,Barcode10,85,0,78,7,0,4,0,0,0
P14,fail-Barcode9,69,fail,Barcode9,69,0,57,12,0,3,0,0,0
P14,fail-fail,10,fail,fail,10,0,8,2,0,0,10,0,0
